SPcode,LDMC,WD,SDMC,LA,SLA,Chl,LT,C13,C,N,CN,tlp
BBSP184,0.428686831,0.481079842,0.467290198,58.26407411,264.555975,41.07777778,0.089444444,-39.506462,43.0148312,2.485373832,17.30718761,-1.269934666
BBSP185,0.496088631,0.714156053,0.570360255,30.99092144,170.8849917,60.9,0.101833333,-36.462462,40.81882223,2.392406522,17.06182534,-1.647944781
BBSP186,0.561181109,0.589765195,0.514412091,43.82286708,232.2632505,40.02222222,0.086444444,-36.804462,45.97799282,2.154394069,21.34149619,-1.457943027
BBSP187,0.464590207,0.61611255,0.580355627,60.18621063,333.3835229,37.73888889,0.069777778,NA,NA,NA,NA,NA
BBSP189,0.312391118,0.396190878,0.385777936,99.31237793,187.4402431,44.07777778,0.171444444,NA,NA,NA,NA,NA
BBSP190,0.373088897,0.441525424,0.414083612,59.26444329,260.1047328,42.86666667,0.096333333,NA,NA,NA,NA,NA
BBSP191,0.323336293,0.562316255,0.518344101,69.73476325,196.5279287,50.03333333,0.158666667,-35.875462,42.1188216,2.315975786,18.18620983,-1.102489719
BBSP192,0.416441724,0.573257343,0.534125009,17.91167263,148.1366272,47.72222222,0.147388889,-34.560462,48.4958719,1.360008024,35.65851895,-1.540826178
BBSP195,0.7247983,0.4364694,0.356324923,27.71922761,286.7795263,31.13333333,0.132777778,NA,NA,NA,NA,-1.376109031
BBSP196,0.326341275,0.48178491,0.385951618,32.89224794,301.495544,43.88888889,0.081222222,-38.346462,36.50074331,2.949095875,12.37692664,-1.258761178
BBSP197,0.148256601,0.292952694,0.32031776,105.5479202,246.2138437,32.36666667,0.128777778,-35.318462,38.67021943,2.397491141,16.12945248,-0.986243478
BBSP198,0.271443645,0.619404389,0.529304035,81.56872559,250.4799334,50.125,0.121833333,-34.387462,41.93169199,2.981540592,14.06376693,-1.592444545
BBSP199,0.427816506,0.528625708,0.482640097,61.73767005,182.5055443,48.9,0.149333333,-33.450462,45.11943361,1.549446136,29.1197174,-1.141937902
BBSP201,0.354437383,0.508400029,0.471981101,50.77507952,175.5494215,48.68888889,0.162166667,NA,NA,NA,NA,NA
BBSP202,0.561928276,0.432882763,0.456266131,67.08350584,163.9110447,51.8,0.121388889,-36.681462,43.89886723,1.594724902,27.52754859,-1.584051314
BBSP203,0.32507676,0.469184985,0.425913433,35.24465847,176.5983539,51.04166667,0.162541667,-37.070462,36.24308553,1.774105028,20.4289402,-1.5566684
BBSP204,0.334397722,0.49105355,0.43327064,56.29435666,149.8423063,53.23333333,0.178083333,-34.776462,40.75354842,2.076330019,19.62768348,NA
BBSP205,0.250553316,0.521434653,0.416392519,24.00810856,186.5630325,46.27777778,0.199555556,NA,NA,NA,NA,NA
BBSP207,0.406496988,0.513100701,0.474331331,132.8733232,173.9239787,49.42222222,0.128666667,NA,NA,NA,NA,NA
BBSP208,0.542006672,0.599047619,0.543177893,20.70016564,189.1978072,53.33333333,0.137666667,-35.281462,34.33335292,2.379801248,14.42698332,-1.631368151
BBSP209,0.315177626,0.499747414,0.489538906,52.10939311,156.7085046,57.77777778,0.197888889,NA,NA,NA,NA,NA
BBSP211,0.419263816,0.474407001,0.430360365,53.29720052,211.9010165,50.52222222,0.130777778,-34.283462,44.39283011,3.144051241,14.11962678,-1.632732051
BBSP213,0.37390229,0.487097649,0.476563424,143.5801938,157.2376851,38.71666667,0.194583333,NA,NA,NA,NA,NA
BBSP214,0.622081041,0.787200187,0.636542048,105.0420278,189.6013133,41.01111111,0.100666667,-35.712462,42.46674299,1.844632671,23.02178838,-1.560969931
BBSP215,0.461885469,0.561199844,0.501242658,59.98823505,140.3201656,51.15555556,0.136666667,NA,NA,NA,NA,NA
BBSP216,0.30769916,0.290206176,0.272174786,51.53168488,161.9339202,52.05555556,0.141277778,NA,NA,NA,NA,NA
BBSP218,0.36126248,0.52600776,0.409004276,80.05255212,168.9628063,48.35555556,0.169555556,-31.703462,44.82526405,2.095540419,21.39078953,-1.203628145
BBSP219,0.383535648,0.661021841,0.555126744,60.54934904,158.5016956,63.85555556,0.145666667,-34.735462,47.95076103,2.295967425,20.88477411,NA
BBSP220,0.286899445,0.370705585,0.313713839,128.779647,168.5140345,48.09444444,0.161444444,-35.271462,34.45759497,1.633045148,21.10020964,-1.402547706
BBSP221,0.354976359,0.349364026,0.39603771,34.75029288,232.6786798,35.84444444,0.111888889,-33.846462,48.02570717,1.5468976,31.04646821,-1.719811816
BBSP222,0.219431961,0.380337079,0.37136588,150.7541784,193.1011462,54.06666667,0.166,NA,NA,NA,NA,NA
BBSP223,0.387136921,0.504057632,0.47685738,73.49822998,201.3329053,49.32222222,0.139,NA,NA,NA,NA,-1.631892728
BBSP224,0.218942966,0.367175368,0.324466074,77.20857181,205.6852531,53.31111111,0.151611111,NA,NA,NA,NA,NA
BBSP226,0.487791893,0.601459854,0.523271914,65.38403893,116.8040111,47.78333333,0.147833333,NA,NA,NA,NA,NA
BBSP227,0.515812252,0.68362376,0.577356263,59.45346691,194.4294929,52.96111111,0.118833333,NA,NA,NA,NA,NA
BBSP229,0.234965257,0.516837694,0.422485283,47.76120313,186.1488102,58.47222222,0.186333333,-34.988462,36.45485795,2.592856333,14.05972922,-1.290078419
BBSP230,0.201705535,0.39415248,0.387045359,53.48737166,367.5341966,37.74444444,0.123611111,-34.045462,43.34581166,2.362964654,18.34382566,-1.394783968
BBSP231,0.27104921,0.407518733,0.37539643,44.5805397,135.7990506,52.43333333,0.239222222,-31.551462,37.40832043,1.720505783,21.74262987,-1.151590117
BBSP233,0.295022274,0.655354022,0.558653756,46.48914634,152.1319751,51.21111111,0.212666667,-34.952462,41.53668034,1.354791931,30.65908454,-1.404016522
BBSP235,0.272357118,0.240594499,0.243719689,102.0740689,180.9146634,45.73333333,0.163666667,-31.392462,45.82458886,1.662093174,27.57040915,-1.555724162
BBSP236,0.304898856,0.532519971,0.487161021,60.33741845,190.3150888,46.61111111,0.198666667,NA,NA,NA,NA,NA
BBSP237,0.453713609,0.754164953,0.583814527,6.962954415,172.7552429,67.76666667,0.114722222,-36.480462,46.87846625,1.636559559,28.64452197,-1.68225211
BBSP238,0.377317534,0.521292475,0.485270548,80.35385005,248.6573303,33.23333333,0.091222222,NA,NA,NA,NA,NA
BBSP239,0.244696688,0.465668929,0.419575852,73.28611374,284.9073396,41.24444444,0.145666667,NA,NA,NA,NA,NA
BBSP240,0.311009773,0.609201931,0.529597658,28.79241986,213.7765816,50.66666667,0.152666667,-31.565462,46.91675128,2.19822079,21.34305685,-1.829763135
BBSP241,0.120676906,0.18325314,0.175354912,94.33954917,351.1960247,42.46666667,0.168,NA,NA,NA,NA,NA
BBSP242,0.452551488,0.636645736,0.576007473,19.81518413,193.3933378,60.02222222,0.122888889,-34.934462,40.53373254,2.63952142,15.35647039,-1.76219763
BBSP245,0.248171973,0.466457382,0.462912337,68.93789101,142.78544,57.50833333,0.2225,NA,NA,NA,NA,NA
BBSP246,0.284582104,0.443708023,0.393493095,75.41661991,276.170484,43.73333333,0.135222222,-33.785462,45.0615762,2.960998096,15.21837392,-1.458992181
